County,MedianIncome,Population
Alameda,112017,1673133
Alpine,96000,1344
Amador,69955,40095
Butte,59863,217884
Calaveras,70119,45349
Colusa,61861,21780
Contra Costa,110455,1161643
Del Norte,53280,27655
El Dorado,88770,190568
Fresno,61276,1003150
Glenn,56332,28675
Humboldt,53350,137014
Imperial,49078,180051
Inyo,60925,18804
Kern,58824,905644
Kings,63267,151887
Lake,53399,67749
Lassen,59292,32949
Los Angeles,76367,10019635
Madera,66709,156304
Marin,131008,262387
Mariposa,53304,17225
Mendocino,56378,91534
Merced,58861,279150
Modoc,51090,8723
Mono,71138,13291
Monterey,82013,438953
Napa,97498,138795
Nevada,74617,102090
Orange,100485,3182923
Placer,99734,400330
Plumas,57885,19631
Riverside,76066,2409331
Sacramento,76422,1571767
San Benito,95606,63329
San Bernardino,70287,2171071
San Diego,88240,3296317
San Francisco,126187,865933
San Joaquin,74962,771406
San Luis Obispo,82514,282771
San Mateo,136837,762488
Santa Barbara,84356,447651
Santa Clara,140258,1932022
Santa Cruz,96093,272138
Shasta,61937,181935
Sierra,56152,3079
Siskiyou,49857,44151
Solano,89648,451432
Sonoma,91607,492498
Stanislaus,68368,550842
Sutter,67003,99080
Tehama,52901,65345
Trinity,42206,15818
Tulare,57394,470999
Tuolumne,66846,55243
Ventura,94150,845255
Yolo,78386,216703
Yuba,62666,80404
